"Undersøkelse";"Respondent-ID";"Organisasjon";"Grunnleggende status - E-post sendt";"Grunnleggende status - Skjema skrevet ut";"Grunnleggende status - Bakgrunnsdata er eksportert til brevfletting";"Grunnleggende status - Distribuert via kobling";"Grunnleggende status - Svar importert";"Grunnleggende status - Noen spørsmål besvart";"Grunnleggende status - Siste side vist til respondent";"Grunnleggende status - Opprettet manuelt av administrator";"Grunnleggende status - Opprettet ved import";"Grunnleggende status - Opprettet av inntaster";"Grunnleggende status - Opprettet av respondenten selv";"Grunnleggende status - Opprettet via webtjeneste";"Grunnleggende status - Svar tastet inn av respondent";"Grunnleggende status - Svar tastet inn i administrasjonsgrensesnittet";"Grunnleggende status - Svar innsamlet via intervju";"Grunnleggende status - Svar innsamlet via webtjeneste";"Grunnleggende status - Respondent lukket av intervjuer";"Grunnleggende status - Siste side vist til intervjuer";"Grunnleggende status - Gitt avkall på via returmelding";"Grunnleggende status - Opprettet av import fra prøvegruppe";"Opprettet";"Endret";"Avslutningstidspunkt";"Svartidspunkt";"Svarvarighet (sekunder)";"Svarsesjoner";"Antall returmeldinger";"Importer gruppe";"Tidsplan for datainnsamling";"E-post";"Siste distribusjonsstatus";"Siste distribusjonsfeilmelding";"1. Hvor gammel er du?";"2. Ved hvilket fakultetet studerer du?";"3. Studerer du et IT-fag?";"4. Hva har du lært fra minispillet? (du kan skrive norsk eller engelsk)";"5. Målene med mini-spillene var klare";"6. Jeg var konsentret mens jeg spilte minispillet";"7. Tilbakemeldingene som ble gitt under minispillet var nyttige";"8. Ved å spille dette minispillet, har min kunnskap om de forskjellige synlige og usynlige datatypene bedret seg (økt)";"9. Jeg føler at jeg kan bruke min kunnskap om ulike synlige og usynlige datatyper i nye situasjoner";"10. Jeg vil vite mer om ulike synlige og usynlige datatyper";"11. Det var enkelt å navigere seg gjennom minispillet";"12. Minispillet var tilstrekkelig utfordrende og passet med ferdighets- og kunnskapsnivået mitt";"12a. Hvis ikke tilstrekkelig utfordrende, spillet var";"13. Tiden for å fullføre spørsmålene  var passende";"13a. Hvis tiden var ikke passende, tiden til å svare var";"14. Hvilken av de tre datakategoriene syntes du var vanskeligst å forstå? ";"15. På hvilken måte kan vi forbedre minispillet? (kan skive på norsk eller engelsk)";"Gjennomføringsstatus - Lukket";"Gjennomføringsstatus - Gjennomført";"Gjennomføringsstatus - Avvist via svar-e-post";"Opprettelsesstatus - Opprettet manuelt av administrator";"Opprettelsesstatus - Opprettet ved import av administrator";"Opprettelsesstatus - Opprettet av inntaster";"Opprettelsesstatus - Opprettet av respondent via kobling";"Opprettelsesstatus - Opprettet via webtjeneste";"Opprettelsesstatus - Opprettelsestype ukjent";"Opprettelsesstatus - Importert fra prøvegruppe";"Distribusjonsstatus - Brevfletting";"Distribusjonsstatus - Ingen";"Distribusjonsstatus - E-post";"Distribusjonsstatus - Papir";"Distribusjonsstatus - Selvoppretting med kobling";"Svaropprinnelsesstatus - Svar tastet inn av respondent";"Svaropprinnelsesstatus - Svar tastet inn i administrasjonsgrensesnittet";"Svaropprinnelsesstatus - Svar innsamlet via intervju";"Svaropprinnelsesstatus - Svar importert";"Svaropprinnelsesstatus - Svar innsamlet via webtjeneste";"Svaropprinnelsesstatus - Svaropprinnelse ukjent";"Innsamlingsstatus - Ingen";"Innsamlingsstatus - Noen svar";"Innsamlingsstatus - Gjennomført";"Innsamlingsstatus - Frafalt";"Samlet status - Ny";"Samlet status - Distribuert";"Samlet status - Noen svar";"Samlet status - Gjennomført";"Samlet status - Frafalt"
"DATA ISFJELL";923919450;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-05 13:54:30;2022-09-05 13:59:01;2022-09-05 13:59:01;2022-09-05 13:59:01;0,003;1;0;;;"";"-";"";"18-29";"Det samfunnsvitenskapelige fakultet";"Ja";"Jag fick en bättre förståelse för vad som menas med diverse olika typer data. Det var fint att få det knytet till olika scenarion från vardagen, som det med att en datormus som kopplas till en dator genom en USB-sladd räknas som funktionell data då det är data som överförs från en maskin till en annan.";"5 (helt enig)";"3 (verken uenig / enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"4 (enig)";"5 (helt enig)";"4 (enig)";;"2 (uenig)";"for kort";"funksjonelle data";"Det var noen få skrivefeil som kan ses over. Framförallt i övningsoppgavene.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923721822;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-04 14:18:33;2022-09-04 14:23:23;2022-09-04 14:23:23;2022-09-04 14:23:23;0;1;0;;;"";"-";"";"18-29";"Det samfunnsvitenskapelige fakultet";"Nei";"jeg har lært mer om synlig og usynlig rådata, synlig og usynlig analytiske data og  funksjonelle data.";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"4 (enig)";"3 (verken uenig / enig)";"5 (helt enig)";"5 (helt enig)";;"4 (enig)";;"rådata";"Spillet var veldig bra og det fikk meg til å forstå de forskjellige data typene på en god måte. Det kunne vært litt mer spørsmål, men igjen så er det bare ett ""mini"" spill. Likte veldig godt tilbakemeldingen og begrunnelse på hvorfor jeg svarte feil eller korrekt.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";922744491;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-08-30 18:20:50;2022-08-30 18:24:55;2022-08-30 18:24:55;2022-08-30 18:23:41;73,586;1;0;;;"";"-";"";"18-29";"Det samfunnsvitenskapelige fakultet";"Ja";"I learnt the difference between all the different components of the data iceberg and examples of what they include.";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"4 (enig)";"3 (verken uenig / enig)";"4 (enig)";"5 (helt enig)";"5 (helt enig)";;"4 (enig)";;"analytiske data";"Include more examples of invisible data.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";922806357;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-08-31 09:25:08;2022-08-31 09:27:11;2022-08-31 09:27:11;2022-08-31 09:26:31;39,577;1;0;;;"";"-";"";"18-29";"Det samfunnsvitenskapelige fakultet";"Nei";"Mer om rådata, analytiske data og funksjonelle data. Jeg har blitt bedre på å skille de ulike typene, og har større forståelse for hva de ulike typene innebærer.";"4 (enig)";"5 (helt enig)";"4 (enig)";"5 (helt enig)";"3 (verken uenig / enig)";"4 (enig)";"5 (helt enig)";"4 (enig)";;"5 (helt enig)";;"analytiske data";"Jeg syntes minispillet var bra. Kommer ikke på hvordan det kan forbedres.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923291986;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-01 22:22:18;2022-09-01 22:50:41;2022-09-01 22:50:41;2022-09-01 22:48:33;128,624;1;0;;;"";"-";"";"30-64";"Det matematisk-naturvitenskapelige fakultet";"Nei";"Hvordan jeg etterlater ulike typer data i hverdagen";"4 (enig)";"4 (enig)";"5 (helt enig)";"4 (enig)";"4 (enig)";"3 (verken uenig / enig)";"5 (helt enig)";"4 (enig)";;"4 (enig)";;"analytiske data";"Kunne godt vært ennå flere oppgaver på rådata og analytiske data";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";924012111;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-05 22:22:17;2022-09-05 22:25:08;2022-09-05 22:25:08;2022-09-05 22:25:08;0,007;1;0;;;"";"-";"";"18-29";"Det medisinske fakultet";"Nei";"Jeg fikk repetert hvilken ""del av isfjellet"", altså hvilken kategori, ulike data tilhører.";"5 (helt enig)";"4 (enig)";"4 (enig)";"5 (helt enig)";"3 (verken uenig / enig)";"3 (verken uenig / enig)";"4 (enig)";"3 (verken uenig / enig)";"for lett";"2 (uenig)";"for lang";"analytiske data";"Jeg hadde likt noe mer vanskelig og diffus data, i en type finaleoppgave.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";922850908;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-08-31 12:14:10;2022-08-31 12:16:24;2022-08-31 12:16:24;2022-08-31 12:15:50;34,22;1;0;;;"";"-";"";"30-64";"Det samfunnsvitenskapelige fakultet";"Ja";"God, praktisk trening i å plassere ulike datatyper i rett kategori.";"4 (enig)";"3 (verken uenig / enig)";"4 (enig)";"4 (enig)";"4 (enig)";"5 (helt enig)";"4 (enig)";"4 (enig)";;"3 (verken uenig / enig)";;"analytiske data";"Komprimere tekst, eller erstatte noe tekst med visualiseringer.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923726672;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-04 17:01:49;2022-09-04 17:03:33;2022-09-04 17:03:33;2022-09-04 17:03:33;0,003;1;0;;;"";"-";"";"18-29";"Det samfunnsvitenskapelige fakultet";"Ja";"Tydligere linjer mellom ulik type data";"5 (helt enig)";"4 (enig)";"4 (enig)";"5 (helt enig)";"4 (enig)";"5 (helt enig)";"4 (enig)";"2 (uenig)";"for lett";"4 (enig)";"for lang";"analytiske data";"Mer spørsmål, kanskje ulike spørsmål slik blir bedre å prøve quizen flere ganger";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";924228983;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-06 15:03:45;2022-09-06 15:08:36;2022-09-06 15:08:36;2022-09-06 15:08:07;29,41;1;0;;;"";"-";"";"30-64";"Det matematisk-naturvitenskapelige fakultet";"Nei";"Jeg har lært om ulike typer data og fått illustrert isfjell modellen  ved hjelp av eksempler.";"4 (enig)";"4 (enig)";"5 (helt enig)";"3 (verken uenig / enig)";"4 (enig)";"4 (enig)";"5 (helt enig)";"5 (helt enig)";;"5 (helt enig)";;"rådata";"Jeg synes det vanskeligste var forskjellen på synlige og usynlige rådata, så mer eksempler kanskje.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";922748776;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-08-30 19:36:34;2022-08-30 19:40:07;2022-08-30 19:40:07;2022-08-30 19:40:07;0,004;1;0;;;"";"-";"";"18-29";"Det matematisk-naturvitenskapelige fakultet";"Ja";"jeg har lært forskjellen på raw og analytisk data. hva som er visible og hva som er invisible. Også lært om funksjonell data";"5 (helt enig)";"4 (enig)";"3 (verken uenig / enig)";"4 (enig)";"4 (enig)";"4 (enig)";"3 (verken uenig / enig)";"3 (verken uenig / enig)";"for vanselig";"4 (enig)";"for lang";"funksjonelle data";"Kanskje gitt noen eksempler på hver type data før man går inn i spillet slik at man er enda bedre forberedt før man starter å spille";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";925128268;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-11 20:28:25;2022-09-11 20:31:11;2022-09-11 20:31:11;2022-09-11 20:31:11;0;1;0;;;"";"-";"";"18-29";"Det samfunnsvitenskapelige fakultet";"Ja";"Har lært i små trekk hva rådata er, hva analytisk rådata er.";"3 (verken uenig / enig)";"3 (verken uenig / enig)";"4 (enig)";"4 (enig)";"4 (enig)";"3 (verken uenig / enig)";"4 (enig)";"3 (verken uenig / enig)";"for lett";"3 (verken uenig / enig)";"for kort";"rådata";"Lengre tid på hver oppgave, vanskelig med dysleksi å lese de før tiden er ute.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";924012666;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-05 22:33:27;2022-09-05 22:42:29;2022-09-05 22:42:29;2022-09-05 22:42:29;0;1;0;;;"";"-";"";"18-29";"Det samfunnsvitenskapelige fakultet";"Nei";"Jeg lærte kort sagt hva rådata, analytiske data og funkjsonelle data er. I tillegg ble jeg bedre kjent med forskjellige scenariorer hvor jeg produserer og hvilken type data.";"4 (enig)";"4 (enig)";"5 (helt enig)";"4 (enig)";"4 (enig)";"4 (enig)";"5 (helt enig)";"3 (verken uenig / enig)";;"4 (enig)";;"rådata";"jeg mener spillet kan forbedrer med å forlenge det litt slik at vi blir kjent med ennå flere situasjoner";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923521376;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-03 00:18:28;2022-09-03 00:20:54;2022-09-03 00:20:54;2022-09-03 00:20:54;0,003;1;0;;;"";"-";"";"18-29";"Det matematisk-naturvitenskapelige fakultet";"Nei";"Jeg syntes dette var en ganske bra måte å lære mer og skille mellom de forskjellige dataene! Veldig nyttig! Kommer til å spille spillet senere for å se om kunnskapen har blitt bedre";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";;"5 (helt enig)";;"rådata";"Kanskje noen flere spill eller nivåer hadde vært fint";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";924323446;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-07 09:18:54;2022-09-07 09:27:40;2022-09-07 09:27:40;2022-09-07 09:27:09;30,647;1;0;;;"";"-";"";"18-29";"Det matematisk-naturvitenskapelige fakultet";"Nei";"Litt om rådata";"4 (enig)";"3 (verken uenig / enig)";"4 (enig)";"3 (verken uenig / enig)";"3 (verken uenig / enig)";"1 (helt uenig)";"5 (helt enig)";"4 (enig)";;"4 (enig)";;"rådata";"Mer spesifikk definisjonsbasert formulering";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923708794;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-04 09:53:05;2022-09-04 10:06:31;2022-09-04 10:06:31;2022-09-04 10:02:07;263,137;1;0;;;"";"-";"";"30-64";"Det psykologiske fakultet";"Nei";"Inndeling av ulike datatyper";"4 (enig)";"3 (verken uenig / enig)";"4 (enig)";"4 (enig)";"4 (enig)";"2 (uenig)";"3 (verken uenig / enig)";"3 (verken uenig / enig)";"for vanselig";"2 (uenig)";"for kort";"analytiske data";"Selv om den tikkende lyden av en klokke bidrar til en slags gamification, så synes jeg bare den var stressende all den tid det var mye tekst å lese og man ikke var helt sikker på de ulike datatypene.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";922812534;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-08-31 10:02:47;2022-08-31 10:06:25;2022-08-31 10:06:25;2022-08-31 10:06:25;0;1;0;;;"";"-";"";"18-29";"Det medisinske fakultet";"Ja";"Det er former for data jeg tenker er en type data. F.eks at biler sender rå usynlig data som istedenfor er en annen type data enn det jeg opprinnelig trodde (usynlig analysert data).";"4 (enig)";"4 (enig)";"4 (enig)";"5 (helt enig)";"3 (verken uenig / enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";;"4 (enig)";;"rådata";"Lyden med tanke på tid gir en veldig stress faktor som gjør at jeg føler for å svare med første inntrykket mitt og ikke å lese igjennom selvom jeg har god tid. Evt ha en toogle funksjon for musikken. Tiden tror jeg også ikke er nødvendig egentlig men det tror jeg er mer smak og behag.     LYden er også veldig høy i forhold til resten av lyder jeg har på systemet mitt noe som kan være litt vondt i ørene når lydene kommer opp. Så kan gjerne justeres litt ned";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";922913403;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-08-31 15:44:33;2022-08-31 15:45:45;2022-08-31 15:45:45;2022-08-31 15:45:45;0,003;1;0;;;"";"-";"";"18-29";"Det juridiske fakultet";"Nei";"Jeg har lært om ulike typer data, og om de er synlige eller ikke.";"4 (enig)";"4 (enig)";"4 (enig)";"4 (enig)";"4 (enig)";"3 (verken uenig / enig)";"2 (uenig)";"3 (verken uenig / enig)";;"2 (uenig)";"for kort";"analytiske data";"Det var litt rotete med mye farger og mye som skjedde i spillet. Kanskje bruke en enklere skrifttype.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923271033;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-01 17:36:19;2022-09-01 17:38:41;2022-09-01 17:38:30;2022-09-01 17:37:45;44,603;1;0;;;"";"-";"";"18-29";"Det juridiske fakultet";"Nei";"Jeg har lært om de ulike typer data og at det er vanskelig å klassifisere hvilken data det er snakk om";"5 (helt enig)";"4 (enig)";"5 (helt enig)";"4 (enig)";"3 (verken uenig / enig)";"4 (enig)";"5 (helt enig)";"5 (helt enig)";;"5 (helt enig)";;"analytiske data";"";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923756657;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-04 23:57:21;2022-09-05 00:00:02;2022-09-05 00:00:02;2022-09-04 23:58:43;78,92;1;0;;;"";"-";"";"30-64";"Det psykologiske fakultet";"Nei";"Fått bedre innsikt i ulike data. Mer definert hva funksjonelle data er. Og forskjellene på synlig og usynlige data. og rådata vs. analytiske data.";"4 (enig)";"4 (enig)";"5 (helt enig)";"5 (helt enig)";"4 (enig)";"4 (enig)";"4 (enig)";"4 (enig)";;"4 (enig)";;"analytiske data";"Enda vanskeligere eksempler?";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923503220;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-02 17:09:54;2022-09-02 17:12:39;2022-09-02 17:12:39;2022-09-02 17:12:39;0,02;1;0;;;"";"-";"";"18-29";"Det samfunnsvitenskapelige fakultet";"Nei";"Har lært hva slags data jeg produserer og hvordan kommunikasjonen mellom mennesker og datamaskinerer generer ulik form for data.";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"4 (enig)";"4 (enig)";"4 (enig)";;"4 (enig)";;"rådata";"Rent designmessig, så hadde det vært bedre å benytte seg av flere farger da det var utydelig hvor jeg skulle feste blikket mitt";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";922875011;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-08-31 13:23:53;2022-08-31 13:25:40;2022-08-31 13:25:40;2022-08-31 13:25:40;0;1;0;;;"";"-";"";"18-29";"Det samfunnsvitenskapelige fakultet";"Ja";"Jeg har lært mer om forskjellige typer data";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"4 (enig)";"3 (verken uenig / enig)";"4 (enig)";"5 (helt enig)";;"5 (helt enig)";;"rådata";"Få tydeligere frem forskjellene mellom når analytiske og rådata er usynlige og synlige";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";922946951;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-08-31 19:42:05;2022-08-31 19:47:10;2022-08-31 19:47:10;2022-08-31 19:47:10;0;1;0;;;"";"-";"";"18-29";"Det samfunnsvitenskapelige fakultet";"Nei";"Jeg har lært om forskjellige type data, å differensiere mellom analytiske data, rådata og funksjonelle data, samt blitt mer bevisst på dataen jeg selv produserer.";"5 (helt enig)";"4 (enig)";"5 (helt enig)";"4 (enig)";"4 (enig)";"4 (enig)";"5 (helt enig)";"4 (enig)";;"4 (enig)";;"analytiske data";"Savnet en type ""konsekvens"" for å svare feil - feks at man får flere spørsmål om den typen data man svarte feil på slik at man lærer det bedre.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923493007;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-02 15:50:38;2022-09-02 15:52:24;2022-09-02 15:52:24;2022-09-02 15:51:59;25,23;1;0;;;"";"-";"";"18-29";"Det samfunnsvitenskapelige fakultet";"Nei";"Kjedelig, mye fagspråk og ting som ikke interesserer.";"2 (uenig)";"2 (uenig)";"1 (helt uenig)";"2 (uenig)";"1 (helt uenig)";"5 (helt enig)";"3 (verken uenig / enig)";"2 (uenig)";"for vanselig";"3 (verken uenig / enig)";"for kort";"funksjonelle data";"asssaa";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923754378;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-04 22:16:37;2022-09-04 22:19:29;2022-09-04 22:19:29;2022-09-04 22:19:29;0;1;0;;;"";"-";"";"18-29";"Det matematisk-naturvitenskapelige fakultet";"Nei";"Jeg har lært hvordan man kan karakterisere forskjellige typer data.";"4 (enig)";"3 (verken uenig / enig)";"3 (verken uenig / enig)";"4 (enig)";"4 (enig)";"4 (enig)";"3 (verken uenig / enig)";"4 (enig)";"for vanselig";"2 (uenig)";"for kort";"rådata";"Improve the counter, it was quite stressful";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";923811478;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-05 08:53:18;2022-09-05 08:56:30;2022-09-05 08:56:30;2022-09-05 08:55:26;64,463;1;0;;;"";"-";"";"18-29";"Det humanistiske fakultet";"Nei";"what kind of data there is.";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"4 (enig)";;"5 (helt enig)";;"funksjonelle data";"probably do a reversed choice as well, given three different senarios and one data type to choose a senario";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";922905477;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-08-31 15:36:30;2022-08-31 15:38:18;2022-08-31 15:38:18;2022-08-31 15:38:18;0;1;0;;;"";"-";"";"30-64";"Det samfunnsvitenskapelige fakultet";"Ja";"Lærte litt om datatyper, og hvordan jeg kan skille dem";"4 (enig)";"3 (verken uenig / enig)";"5 (helt enig)";"4 (enig)";"4 (enig)";"3 (verken uenig / enig)";"4 (enig)";"4 (enig)";;"5 (helt enig)";;"analytiske data";"Klokkelyden var litt intens, stresset meg litt mtp tiden som var til rådighet. Burde kanskje starte på lavt volum og øke betydelig når det er 5 sek igjen feks.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";922911625;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-08-31 15:42:07;2022-08-31 15:44:08;2022-08-31 15:44:08;2022-08-31 15:44:08;0,004;1;0;;;"";"-";"";"18-29";"Det juridiske fakultet";"Nei";"Jeg har lært at det er stor forskjell på hvordan data som sendes ut gjennom ulike nettsider og apper.";"3 (verken uenig / enig)";"4 (enig)";"4 (enig)";"4 (enig)";"3 (verken uenig / enig)";"4 (enig)";"4 (enig)";"3 (verken uenig / enig)";;"2 (uenig)";"for kort";"funksjonelle data";"Litt utydelig skrifttype, hvertfall når det også var mye farger.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";924009368;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-09-05 21:38:20;2022-09-05 21:42:09;2022-09-05 21:42:09;2022-09-05 21:40:33;96,374;1;0;;;"";"-";"";"30-64";"Det matematisk-naturvitenskapelige fakultet";"Nei";"I've definitely learnt to better identify which data types that surrounds me, and think more about the interaction with machines.";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";"5 (helt enig)";;"5 (helt enig)";;"rådata";"I can't think of something specific to improve the game. I think it was very helpful to have an explanation after each answer to see it in context, it solidified my knowledge.";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
"DATA ISFJELL";922851471;"Barbara Wasson Lillehaug";0;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;2022-08-31 12:17:56;2022-08-31 12:20:21;2022-08-31 12:20:21;2022-08-31 12:19:53;27,173;1;0;;;"";"-";"";"18-29";"Det samfunnsvitenskapelige fakultet";"Ja";"hvilken type data det er for situasjonene";"5 (helt enig)";"3 (verken uenig / enig)";"4 (enig)";"3 (verken uenig / enig)";"1 (helt uenig)";"4 (enig)";"5 (helt enig)";"1 (helt uenig)";"for lett";"5 (helt enig)";;"rådata";"Ha en liten forklaring angående hva vær data type er, litt vanskelig å peke hvilken som er riktig uten å vite definisjonen på forhånd";1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
